"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Aug-2012","     5220.70","     5246.35","     5212.65","     5240.50","      113815730","         4408.19"
"02-Aug-2012","     5233.10","     5236.90","     5209.95","     5227.75","       92972386","         3699.59"
"03-Aug-2012","     5195.60","     5220.20","     5164.65","     5215.70","      112918653","         4213.76"
"06-Aug-2012","     5260.85","     5293.20","     5260.85","     5282.55","      103148076","         4271.50"
"07-Aug-2012","     5295.40","     5350.10","     5281.65","     5336.70","      130431591","         5226.33"
"08-Aug-2012","     5345.25","     5377.60","     5331.05","     5338.00","      165954895","         6069.12"
"09-Aug-2012","     5348.30","     5368.20","     5312.10","     5322.95","      181419777","         6763.23"
"10-Aug-2012","     5308.20","     5330.10","     5294.10","     5320.40","      130090985","         6540.77"
"13-Aug-2012","     5316.35","     5352.45","     5309.05","     5347.90","      107578773","         4678.33"
"14-Aug-2012","     5343.25","     5387.05","     5328.80","     5380.35","      109794400","         4742.47"
"16-Aug-2012","     5385.95","     5390.65","     5356.65","     5362.95","      133996943","         5285.50"
"17-Aug-2012","     5368.60","     5399.95","     5341.70","     5366.30","      134985473","         5262.34"
"21-Aug-2012","     5368.70","     5425.15","     5368.70","     5421.00","      124343357","         4986.50"
"22-Aug-2012","     5395.75","     5433.35","     5394.80","     5412.85","      103103501","         4156.18"
"23-Aug-2012","     5426.15","     5448.60","     5393.85","     5415.35","      127995889","         5462.34"
"24-Aug-2012","     5392.60","     5399.65","     5371.00","     5386.70","      114346965","         4520.37"
"27-Aug-2012","     5387.85","     5399.15","     5346.65","     5350.25","       89987572","         3882.41"
"28-Aug-2012","     5348.05","     5359.25","     5312.60","     5334.60","      123683723","         4771.00"
"29-Aug-2012","     5343.85","     5345.50","     5282.70","     5287.80","      157470632","         4581.21"
"30-Aug-2012","     5268.60","     5342.80","     5255.05","     5315.05","      226494000","         8374.69"
"31-Aug-2012","     5298.20","     5303.25","     5238.90","     5258.50","      167393902","         6600.58"
"03-Sep-2012","     5276.50","     5295.80","     5243.15","     5253.75","      110380869","         4015.55"
"04-Sep-2012","     5249.15","     5278.35","     5233.20","     5274.00","      106316880","         3726.52"
"05-Sep-2012","     5243.90","     5259.50","     5215.70","     5225.70","      126162071","         4904.68"
"06-Sep-2012","     5217.65","     5260.60","     5217.65","     5238.40","      134008569","         4622.16"
"07-Sep-2012","     5309.45","     5347.15","     5309.20","     5342.10","      149584722","         5590.04"
"08-Sep-2012","     5343.65","     5366.30","     5343.45","     5358.70","       11221064","          376.34"
"10-Sep-2012","     5361.90","     5375.45","     5349.10","     5363.45","      109607506","         4183.01"
"11-Sep-2012","     5336.10","     5393.35","     5332.10","     5390.00","      112878090","         4081.42"
"12-Sep-2012","     5404.45","     5435.55","     5393.95","     5431.00","      139920871","         4885.71"
"13-Sep-2012","     5435.20","     5447.45","     5421.85","     5435.35","      110774177","         4199.37"
"14-Sep-2012","     5528.35","     5586.65","     5526.95","     5577.65","      233783031","         9263.53"
"17-Sep-2012","     5631.75","     5652.20","     5585.15","     5610.00","      258912780","        10924.57"
"18-Sep-2012","     5602.40","     5620.55","     5586.45","     5600.05","      175488961","         7272.63"
"20-Sep-2012","     5536.95","     5581.35","     5534.90","     5554.25","      165684942","         6768.88"
"21-Sep-2012","     5577.00","     5720.00","     5575.45","     5691.15","      278023825","        11101.32"
"24-Sep-2012","     5691.95","     5709.85","     5662.75","     5669.60","      210419441","         8380.56"
"25-Sep-2012","     5674.90","     5702.70","     5652.45","     5673.90","      341387116","        12551.60"
"26-Sep-2012","     5653.40","     5672.80","     5638.65","     5663.45","      170771069","         6754.98"
"27-Sep-2012","     5673.75","     5693.70","     5639.70","     5649.50","      238991690","         9368.11"
"28-Sep-2012","     5684.80","     5735.15","     5683.45","     5703.30","      163660805","         6948.17"
"01-Oct-2012","     5704.75","     5722.95","     5694.00","     5718.80","      123138510","         4798.17"
"03-Oct-2012","     5727.70","     5743.25","     5715.80","     5731.25","      165037864","         6654.02"
"04-Oct-2012","     5751.55","     5807.25","     5751.35","     5787.60","      171404290","         6954.74"
"05-Oct-2012","     5815.00","     5815.35","     4888.20","     5746.95","      255569804","        12995.80"
"08-Oct-2012","     5751.85","     5751.85","     5666.20","     5676.00","      142319000","         5853.56"
"09-Oct-2012","     5708.15","     5728.65","     5677.90","     5704.60","      119300415","         5047.01"
"10-Oct-2012","     5671.15","     5686.50","     5647.05","     5652.15","      126294361","         4564.39"
"11-Oct-2012","     5663.50","     5721.10","     5636.95","     5708.05","      148283847","         6542.71"
"12-Oct-2012","     5681.70","     5725.00","     5659.35","     5676.05","      130076802","         6475.30"
"15-Oct-2012","     5674.25","     5693.70","     5651.05","     5687.25","       93693482","         3962.97"
"16-Oct-2012","     5705.60","     5714.00","     5635.60","     5648.00","      117415701","         5043.30"
"17-Oct-2012","     5681.10","     5684.35","     5633.90","     5660.25","      123974371","         5259.46"
"18-Oct-2012","     5675.30","     5722.50","     5650.55","     5718.70","      144097860","         6264.78"
"19-Oct-2012","     5703.30","     5711.70","     5660.00","     5684.25","      124262817","         5410.95"
"22-Oct-2012","     5667.60","     5721.55","     5658.05","     5717.15","      103372318","         4994.75"
"23-Oct-2012","     5715.65","     5720.80","     5681.45","     5691.40","       81501427","         3803.50"
"25-Oct-2012","     5688.80","     5718.75","     5685.70","     5705.30","      158343061","         7359.34"
"26-Oct-2012","     5683.55","     5697.20","     5641.75","     5664.30","      101663820","         4718.97"
"29-Oct-2012","     5665.20","     5698.30","     5645.10","     5665.60","       93555816","         3953.86"
"30-Oct-2012","     5656.35","     5689.90","     5589.90","     5597.90","      116678775","         5550.86"
"31-Oct-2012","     5596.75","     5624.40","     5583.05","     5619.70","      112075316","         4918.55"
"01-Nov-2012","     5609.85","     5649.75","     5601.95","     5645.05","      107393402","         4633.11"
"02-Nov-2012","     5696.35","     5711.30","     5682.55","     5697.70","      111162841","         4924.33"
"05-Nov-2012","     5693.05","     5709.20","     5679.50","     5704.20","       74829213","         3236.08"
"06-Nov-2012","     5694.10","     5730.80","     5693.65","     5724.40","      115018796","         4677.92"
"07-Nov-2012","     5718.60","     5777.30","     5711.40","     5760.10","      133740615","         5242.18"
"08-Nov-2012","     5709.00","     5744.50","     5693.95","     5738.75","      117590261","         4883.90"
"09-Nov-2012","     5731.10","     5751.70","     5677.75","     5686.25","       98763127","         4833.64"
"12-Nov-2012","     5688.45","     5718.90","     5665.75","     5683.70","       92702799","         4082.62"
